path,p,m,spAveCard,method,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5,spSize,aveWidth,points_hypercube,pctSup,pctExt,spPctExt1,spPctExt2,spPctExt3,spPctExt4,spPctExt5,spAvePctExt,ubCard
alg1-prob-2-100|100-ul-2_4.json,2,2,100,ul,310,87,85,223,81,339,19926,19998,19845,19659,0.044,100,100,86,2,84,2,14,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19752,390172360,0.2806451612903226,0.27419354838709675,0.84,0.02,NA,NA,NA,0.43,10000
alg1-prob-2-100|100-ul-2_5.json,2,2,100,ul,270,89,89,181,73,165,19468,19985,19395,19820,0.0442,100,100,88,2,88,2,12,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19607.5,384448116,0.3296296296296296,0.3296296296296296,0.88,0.02,NA,NA,NA,0.45,10000
alg1-prob-2-100|100-uu-2_1.json,2,2,100,u,366,3,3,363,41,196,19999,20000,19958,19804,0.0456,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19881,395287995,0.00819672131147541,0.00819672131147541,0.02,0.02,NA,NA,NA,0.02,10000
alg1-prob-2-100|100-uu-2_2.json,2,2,100,u,364,3,3,361,32,172,19999,20000,19967,19828,0.0454,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19897.5,395945472,0.008241758241758242,0.008241758241758242,0.02,0.02,NA,NA,NA,0.02,10000
alg1-prob-2-100|100-uu-2_3.json,2,2,100,u,344,3,3,341,194,356,19994,19999,19800,19643,0.0457,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19721.5,388970844,0.00872093023255814,0.00872093023255814,0.02,0.02,NA,NA,NA,0.02,10000
alg1-prob-2-100|100-uu-2_4.json,2,2,100,u,299,3,3,296,144,162,19999,19999,19855,19837,0.0482,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19846,393903328,0.010033444816053512,0.010033444816053512,0.02,0.02,NA,NA,NA,0.02,10000
alg1-prob-2-100|100-uu-2_5.json,2,2,100,u,385,3,3,382,105,79,20000,20000,19895,19921,0.048,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19908,396368112,0.007792207792207792,0.007792207792207792,0.02,0.02,NA,NA,NA,0.02,10000
alg1-prob-2-100|100|100-lll-3_1.json,2,3,100,l,3230,259,243,2971,3,11,29370,29670,29367,29659,0.4905,100,100,86,83,86,79,14,17,100,86,84,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29513,871054880,0.08018575851393189,0.07523219814241486,0.86,0.79,0.84,NA,NA,0.83,1000000
alg1-prob-2-100|100|100-lll-3_2.json,2,3,100,l,3044,252,239,2792,21,8,29385,28943,29364,28935,0.48,100,100,84,79,84,78,16,21,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29149.5,849705640,0.08278580814717477,0.07851511169513797,0.84,0.78,0.83,NA,NA,0.8166666666666667,1000000
alg1-prob-2-100|100|100-lll-3_3.json,2,3,100,l,2914,252,242,2662,14,3,29674,29350,29660,29347,0.4614,100,100,86,84,84,84,14,16,100,80,79,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,29503.5,870491028,0.08647906657515443,0.08304735758407687,0.84,0.84,0.79,NA,NA,0.8233333333333334,1000000
